CGC2.1.t1	CGC2.1
CGC2.4938.t1	CBG02425
CGC2.4939.t1	ZK177.9
CGC2.4940.t1	CGC2.4940
CGC2.4941.t1	CGC2.4941
CGC2.4942.t1	CGC2.4942
CGC2.4943.t1	ZK177.3
CGC2.4944.t1	ZK177.8
CGC2.4944.t2	ZK177.8
CGC2.4945.t1	npp-24
CGC2.4946.t1	cyp-44A1
CGC2.4947.t1	fzy-1
CGC2.4947.t2	fzy-1
CGC2.4948.t1	F12A10.8
CGC2.4949.t1	F12A10.9
CGC2.4949.t2	F12A10.9
CGC2.4950.t1	CGC2.4950
CGC2.4951.t1	suex-1
CGC2.4952.t1	CBG31351
CGC2.4953.t1	F12A10.1
CGC2.4954.t1	nep-5
CGC2.4955.t1	cal-8
CGC2.4956.t1	F56D1.1
CGC2.4957.t1	ilcr-2
CGC2.4957.t2	ilcr-2
CGC2.4958.t1	mrps-16
CGC2.4959.t1	CGC2.4959
CGC2.4960.t1	clr-1
CGC2.4960.t2	clr-1
CGC2.4960.t3	clr-1
CGC2.4960.t4	clr-1
CGC2.4960.t5	clr-1
CGC2.4960.t6	clr-1
CGC2.4961.t1	daz-1
CGC2.4961.t2	daz-1
CGC2.4962.t1	dhs-5
CGC2.4963.t1	cex-1
CGC2.4964.t1	nmr-1
CGC2.4965.t1	F07F6.1
CGC2.4966.t1	dct-5
CGC2.4967.t1	srx-114
CGC2.4968.t1	F07F6.4
CGC2.4968.t2	F07F6.4
CGC2.4969.t1	F07F6.8
CGC2.4970.t1	tofu-6
CGC2.4971.t1	EEED8.15
CGC2.4971.t2	EEED8.15
CGC2.4972.t1	EEED8.2
CGC2.4973.t1	EEED8.3
CGC2.4974.t1	CBG02389
CGC2.4975.t1	clec-141
CGC2.4976.t1	mog-5
CGC2.4977.t1	EEED8.10
CGC2.4978.t1	pink-1
CGC2.4979.t1	brap-2
CGC2.4979.t2	brap-2
CGC2.4980.t1	ndx-6
CGC2.4981.t1	rsp-4
CGC2.4982.t1	ccpp-6
CGC2.4982.t2	ccpp-6
CGC2.4983.t1	pkc-3
CGC2.4984.t1	prdx-2
CGC2.4985.t1	algn-2
CGC2.4986.t1	F09E5.3
CGC2.4986.t2	F09E5.3
CGC2.4987.t1	sec-6
CGC2.4988.t1	F09E5.16
CGC2.4989.t1	bmy-1
CGC2.4990.t1	F09E5.11
CGC2.4991.t1	srg-69
CGC2.4992.t1	F09E5.7
CGC2.4993.t1	F09E5.8
CGC2.4994.t1	F09E5.14
CGC2.4995.t1	vhp-1
CGC2.4995.t2	vhp-1
CGC2.4995.t3	vhp-1
CGC2.4996.t1	gcy-12
CGC2.4996.t2	gcy-12
CGC2.4997.t1	ZK622.4
CGC2.4998.t1	ZK622.5
CGC2.4999.t1	gur-5
CGC2.5000.t1	pmt-1
CGC2.5001.t1	frpr-4
CGC2.5001.t2	frpr-4
CGC2.5002.t1	ptr-6
CGC2.5003.t1	pho-4
CGC2.5004.t1	pho-1
CGC2.5005.t1	EGAP2.1
CGC2.5006.t1	dsh-1
CGC2.5006.t2	dsh-1
CGC2.5007.t1	C34F11.8
CGC2.5007.t2	C34F11.8
CGC2.5008.t1	ampd-1
CGC2.5008.t2	ampd-1
CGC2.5009.t1	C34F11.5
CGC2.5010.t1	crh-2
CGC2.5010.t2	crh-2
CGC2.5010.t3	crh-2
CGC2.5011.t1	C27D6.12
CGC2.5012.t1	C27D6.1
CGC2.5013.t2	srb-1
CGC2.5013.t1	srb-1
CGC2.5014.t1	CBG30864
CGC2.5015.t2	srb-5
CGC2.5015.t1	srb-5
CGC2.5016.t1	srb-13
CGC2.5016.t2	srb-13
CGC2.5017.t1	srb-12
CGC2.5018.t1	srb-16
CGC2.5019.t1	F58A6.1
CGC2.5020.t1	nas-29
CGC2.5021.t1	F58A6.2
CGC2.5022.t1	ggr-3
CGC2.5022.t2	ggr-3
CGC2.5022.t3	ggr-3
CGC2.5023.t1	F09C12.6
CGC2.5024.t1	F09C12.2
CGC2.5024.t2	F09C12.2
CGC2.5024.t3	F09C12.2
CGC2.5025.t1	mpk-2
CGC2.5026.t1	C04G6.10
CGC2.5027.t1	C04G6.7.1
CGC2.5028.t1	CBG02324
CGC2.5029.t1	C04G6.7.2
CGC2.5030.t1	CGC2.5030
CGC2.5030.t2	CGC2.5030
CGC2.5031.t1	C04G6.13
CGC2.5032.t1	CBG02322
CGC2.5033.t1	pld-1
CGC2.5033.t2	pld-1
CGC2.5033.t3	pld-1
CGC2.5034.t1	C04G6.4
CGC2.5035.t1	dsh-2
CGC2.5036.t1	CBG02316a
CGC2.5037.t1	C27A2.7
CGC2.5038.t1	C27A2.5
CGC2.5039.t1	ptp-5.2
CGC2.5040.t1	B0034.4
CGC2.5041.t1	C27A2.8
CGC2.5041.t2	C27A2.8
CGC2.5042.t1	smc-5
CGC2.5043.t1	pho-12
CGC2.5044.t1	C27A2.12
CGC2.5045.t1	rpl-22
CGC2.5046.t1	F33G12.6
CGC2.5047.t1	F33G12.7
CGC2.5048.t1	try-1
CGC2.5049.t1	golg-2
CGC2.5050.t1	lrr-1
CGC2.5051.t1	F33G12.3
CGC2.5052.t1	wdr-83
CGC2.5052.t2	wdr-83
CGC2.5053.t1	nsy-1
CGC2.5053.t2	nsy-1
CGC2.5054.t1	ssp-19
CGC2.5055.t1	F58A6.5
CGC2.5056.t1	CGC2.5056
CGC2.5057.t1	vps-24
CGC2.5058.t1	pigb-1
CGC2.5059.t1	shc-2
CGC2.5059.t2	shc-2
CGC2.5060.t1	ulp-2
CGC2.5060.t2	ulp-2
CGC2.5061.t1	pbs-3
CGC2.5062.t1	ndx-3
CGC2.5063.t1	zyg-12
CGC2.5063.t2	zyg-12
CGC2.5063.t4	zyg-12
CGC2.5063.t3	zyg-12
CGC2.5064.t2	CGC2.5064
CGC2.5064.t1	CGC2.5064
CGC2.5065.t1	ZK546.2
CGC2.5066.t1	ZK546.14
CGC2.5067.t1	mdt-4
CGC2.5067.t2	mdt-4
CGC2.5068.t1	cblc-1
CGC2.5069.t1	CGC2.5069
CGC2.5070.t1	ZK546.4
CGC2.5071.t1	ZK546.5
CGC2.5071.t2	ZK546.5
CGC2.5071.t3	ZK546.5
CGC2.5071.t4	ZK546.5
CGC2.5072.t1	CGC2.5072
CGC2.5073.t1	gst-30
CGC2.5074.t1	aagr-2.1
CGC2.5075.t1	CGC2.5075
CGC2.5076.t1	CGC2.5076
CGC2.5077.t1	CGC2.5077
CGC2.5078.t1	CGC2.5078
CGC2.5079.t1	CGC2.5079
CGC2.5080.t1	Y39E4B.5
CGC2.5081.t1	snpc-1.2
CGC2.5082.t1	btbd-10
CGC2.5083.t1	sgt-1
CGC2.5084.t1	R05F9.9
CGC2.5085.t1	gst-9
CGC2.5086.t1	R05F9.6
CGC2.5087.t1	R05F9.7
CGC2.5088.t1	gst-7
CGC2.5089.t1	gst-6
CGC2.5090.t1	CBG24807
CGC2.5091.t1	col-73
CGC2.5092.t1	col-20
CGC2.5093.t1	CGC2.5093
CGC2.5094.t1	dnj-9
CGC2.5095.t1	T23B7.3
CGC2.5096.t1	tbck-1
CGC2.5097.t1	lact-5
CGC2.5097.t2	lact-5
CGC2.5098.t2	rig-6
CGC2.5098.t1	rig-6
CGC2.5099.t1	CGC2.5099
CGC2.5100.t1	C33F10.14
CGC2.5101.t1	C33F10.4
CGC2.5102.t1	F26G1.1
CGC2.5102.t2	F26G1.1
CGC2.5103.t1	F26G1.15
CGC2.5104.t1	CGC2.5104
CGC2.5105.t3	nep-12
CGC2.5105.t1	nep-12
CGC2.5105.t2	nep-12
CGC2.5106.t1	F26G1.9
CGC2.5107.t1	F26G1.5
CGC2.5108.t1	C09G5.7
CGC2.5109.t1	ttm-2
CGC2.5109.t2	ttm-2
CGC2.5110.t1	F26G1.2
CGC2.5111.t1	CGC2.5111
CGC2.5112.t1	F38A5.6
CGC2.5112.t2	F38A5.6
CGC2.5113.t1	C27D9.2
CGC2.5114.t1	C27D9.1
CGC2.5115.t1	CGC2.5115
CGC2.5116.t1	CBG20622
CGC2.5117.t1	CGC2.5117
CGC2.5118.t1	C24D10.2
CGC2.5119.t1	F41C3.2
CGC2.5120.t1	acs-11
CGC2.5121.t1	CGC2.5121
CGC2.5122.t1	eas-1
CGC2.5123.t1	CGC2.5123
CGC2.5124.t1	CBG20629
CGC2.5125.t1	F09C12.8
CGC2.5126.t1	R03D7.8
CGC2.5127.t1	gst-5
CGC2.5128.t1	R03D7.5
CGC2.5129.t1	tceb-3
CGC2.5130.t1	CBG25659
CGC2.5131.t1	metr-1
CGC2.5132.t1	Y19D2B.2
CGC2.5133.t1	CBG25660
CGC2.5134.t1	sra-11
CGC2.5134.t2	sra-11
CGC2.5134.t3	sra-11
CGC2.5135.t1	gln-6
CGC2.5136.t1	gly-1
CGC2.5137.t1	sra-10
CGC2.5138.t1	ptr-8
CGC2.5139.t1	F44F4.3
CGC2.5140.t1	egg-3
CGC2.5141.t1	gst-39.1
CGC2.5142.t1	gst-22
CGC2.5143.t1	F10D11.3
CGC2.5144.t1	CBG30056
CGC2.5145.t1	spsb-1
CGC2.5145.t2	spsb-1
CGC2.5145.t3	spsb-1
CGC2.5146.t1	Y46E12BL.2
CGC2.5146.t2	Y46E12BL.2
CGC2.5147.t1	tig-3
CGC2.5148.t1	rga-9
CGC2.5149.t1	Y48B6A.13
CGC2.5150.t1	men-1
CGC2.5151.t1	jmjd-2
CGC2.5151.t2	jmjd-2
CGC2.5152.t1	hmg-1.1
CGC2.5153.t1	Y54G11A.2
CGC2.5154.t1	Y54G11A.1
CGC2.5155.t1	Y54G11A.3
CGC2.5156.t1	tag-10
CGC2.5156.t2	tag-10
CGC2.5157.t1	gst-12
CGC2.5158.t1	gst-15
CGC2.5159.t1	gst-24
CGC2.5160.t1	gst-20
CGC2.5161.t1	csc-1
CGC2.5162.t1	fbxc-23
CGC2.5163.t2	W02B8.1
CGC2.5163.t1	W02B8.1
CGC2.5164.t1	mcd-1
CGC2.5165.t1	hda-10
CGC2.5166.t1	ing-3
CGC2.5167.t1	Y51H1A.3
CGC2.5168.t1	cup-14
CGC2.5168.t2	cup-14
CGC2.5169.t1	F08G2.8
CGC2.5170.t1	F08G2.7
CGC2.5171.t1	F08G2.4
CGC2.5172.t1	ZK131.11
CGC2.5172.t2	ZK131.11
CGC2.5172.t3	ZK131.11
CGC2.5172.t4	ZK131.11
CGC2.5173.t1	CGC2.5173
CGC2.5174.t1	arrd-13
CGC2.5175.t1	arrd-14
CGC2.5175.t2	arrd-14
CGC2.5176.t1	CBG20691b
CGC2.5176.t2	CBG20691b
CGC2.5177.t1	mig-14
CGC2.5177.t2	mig-14
CGC2.5178.t1	CBG20693
CGC2.5179.t1	R06B9.5
CGC2.5180.t1	Y54G9A.9
CGC2.5181.t1	bub-3
CGC2.5182.t1	Y54G9A.7
CGC2.5183.t1	zipt-2.3
CGC2.5184.t1	kqt-3
CGC2.5185.t1	rpoa-1
CGC2.5186.t1	C31C9.7
CGC2.5187.t1	C31C9.2
CGC2.5188.t1	gln-2
CGC2.5189.t1	Y39G8B.2
CGC2.5190.t1	Y39G8B.1
CGC2.5190.t2	Y39G8B.1
CGC2.5190.t3	Y39G8B.1
CGC2.5191.t1	sre-43
CGC2.5192.t1	W07G1.7
CGC2.5193.t1	rpi-1
CGC2.5193.t2	rpi-1
CGC2.5194.t1	zip-3
CGC2.5195.t1	W07G1.1
CGC2.5196.t1	hot-3
CGC2.5197.t1	CBG25675
CGC2.5198.t1	CGC2.5198
CGC2.5199.t1	mltn-3
CGC2.5200.t1	clec-146
CGC2.5201.t1	clec-145
CGC2.5202.t1	Y48E1B.8
CGC2.5203.t1	lin-38
CGC2.5204.t2	mrpl-37
CGC2.5204.t1	mrpl-37
CGC2.5205.t1	CBG20759
CGC2.5206.t1	Y48E1B.3
CGC2.5207.t1	ddl-2
CGC2.5208.t1	Y48E1B.17
CGC2.5209.t1	noa-1
CGC2.5210.t1	snx-14
CGC2.5211.t1	C33F10.8
CGC2.5212.t1	sre-45
CGC2.5212.t2	sre-45
CGC2.5212.t3	sre-45
CGC2.5213.t1	nep-17
CGC2.5214.t1	F54F11.1
CGC2.5215.t2	F45H10.5
CGC2.5215.t1	F45H10.5
CGC2.5216.t1	CGC2.5216
CGC2.5216.t2	CGC2.5216
CGC2.5217.t1	drr-1
CGC2.5218.t1	F45H10.3
CGC2.5219.t1	F45H10.2
CGC2.5220.t1	alh-7
CGC2.5221.t1	E01G4.6
CGC2.5222.t1	E01G4.3
CGC2.5223.t1	pqn-27
CGC2.5223.t2	pqn-27
CGC2.5223.t3	pqn-27
CGC2.5223.t4	pqn-27
CGC2.5224.t1	tbc-14
CGC2.5224.t2	tbc-14
CGC2.5225.t1	Y48E1C.4
CGC2.5226.t1	Y48E1C.2
CGC2.5227.t1	Y48E1C.1
CGC2.5227.t2	Y48E1C.1
CGC2.5228.t1	Y48C3A.18
CGC2.5229.t1	efl-2
CGC2.5230.t1	pinn-4
CGC2.5231.t1	Y48C3A.14
CGC2.5232.t1	Y48C3A.12
CGC2.5232.t4	Y48C3A.12
CGC2.5232.t5	Y48C3A.12
CGC2.5232.t2	Y48C3A.12
CGC2.5232.t3	Y48C3A.12
CGC2.5232.t6	Y48C3A.12
CGC2.5233.t1	Y48C3A.20
CGC2.5234.t1	dmsr-3
CGC2.5235.t1	mrpl-20
CGC2.5236.t1	sam-10
CGC2.5237.t1	mac-1
CGC2.5237.t2	mac-1
CGC2.5238.t2	CBG25676b
CGC2.5238.t1	CBG25676b
CGC2.5239.t1	CBG20800
CGC2.5240.t1	CBG20801
CGC2.5241.t2	Y48C3A.3
CGC2.5241.t1	Y48C3A.3
CGC2.5242.t1	CBG20803d
CGC2.5243.t1	ztf-22
CGC2.5243.t2	ztf-22
CGC2.5244.t1	CGC2.5244
CGC2.5245.t1	ctl-1
CGC2.5246.t1	ctl-2
CGC2.5247.t1	Y54G11A.7
CGC2.5248.t1	CGC2.5248
CGC2.5249.t1	Y39G8B.9
CGC2.5250.t1	Y39G8B.10
CGC2.5250.t2	Y39G8B.10
CGC2.5251.t1	CGC2.5251
CGC2.5252.t1	F01D5.1
CGC2.5253.t1	F01D5.3
CGC2.5254.t1	CBG20819
CGC2.5255.t1	CBG20820
CGC2.5256.t1	CBG20821
CGC2.5257.t1	CBG20822
CGC2.5258.t1	CBG20823
CGC2.5259.t1	CBG02253
CGC2.5260.t1	CGC2.5260
CGC2.5261.t1	CBG20825
CGC2.5262.t1	CBG30107
CGC2.5263.t1	CBG30108
CGC2.5264.t1	F01D5.6
CGC2.5265.t1	F01D5.8
CGC2.5265.t2	F01D5.8
CGC2.5265.t3	F01D5.8
CGC2.5266.t1	cyp-37A1
CGC2.5267.t1	F01D5.10
CGC2.5268.t1	C45G9.15
CGC2.5269.t1	daf-5
CGC2.5270.t1	rpb-11
CGC2.5271.t1	W01G7.4
CGC2.5271.t2	W01G7.4
CGC2.5272.t1	CBG25677
CGC2.5273.t1	lem-2
CGC2.5274.t1	xrn-1
CGC2.5275.t1	col-87
CGC2.5275.t2	col-87
CGC2.5276.t1	CBG20839
CGC2.5277.t1	CBG20840
CGC2.5278.t1	CBG20841
CGC2.5279.t1	CBG20842
CGC2.5280.t1	bkip-1b
CGC2.5281.t1	bkip-1a
CGC2.5282.t1	gur-4
CGC2.5283.t1	cpg-7
CGC2.5284.t1	K09E4.4
CGC2.5285.t1	K09E4.3
CGC2.5286.t1	algn-3
CGC2.5287.t1	cacn-1
CGC2.5288.t1	K09E4.1
CGC2.5289.t1	eat-2
CGC2.5289.t2	eat-2
CGC2.5290.t1	Y53F4B.9
CGC2.5291.t2	Y53F4B.11
CGC2.5291.t1	Y53F4B.11
CGC2.5292.t1	CBG02655
CGC2.5293.t1	Y53F4B.51
CGC2.5294.t1	Y53F4B.12
CGC2.5294.t2	Y53F4B.12
CGC2.5295.t1	CGC2.5295
CGC2.5295.t2	CGC2.5295
CGC2.5296.t1	Y17G7B.18
CGC2.5296.t2	Y17G7B.18
CGC2.5297.t1	Y17G7B.17
CGC2.5298.t1	cnt-1
CGC2.5299.t1	Y43F11A.4
CGC2.5300.t1	CGC2.5300
CGC2.5301.t1	Y17G7B.8
CGC2.5301.t2	Y17G7B.8
CGC2.5302.t1	cyn-16
CGC2.5303.t1	tpi-1
CGC2.5304.t1	ippk-1
CGC2.5305.t1	nadk-2
CGC2.5305.t2	nadk-2
CGC2.5306.t1	Y17G7B.12
CGC2.5307.t1	glb-29
CGC2.5308.t1	Y17G7B.23
CGC2.5308.t2	Y17G7B.23
CGC2.5309.t1	dhps-1
CGC2.5310.t1	Y17G7B.3
CGC2.5311.t1	ash-2
CGC2.5311.t2	ash-2
CGC2.5311.t3	ash-2
CGC2.5311.t4	ash-2
CGC2.5312.t1	Y17G7B.20
CGC2.5312.t2	Y17G7B.20
CGC2.5313.t1	Y17G7B.21
CGC2.5314.t1	acbp-6
CGC2.5315.t1	mex-1
CGC2.5316.t1	W03C9.5
CGC2.5317.t1	rab-7
CGC2.5318.t1	W03C9.2
CGC2.5319.t1	CGC2.5319
CGC2.5319.t2	CGC2.5319
CGC2.5320.t1	W03C9.1
CGC2.5321.t1	madf-5
CGC2.5322.t1	W03C9.8
CGC2.5323.t1	W03C9.6
CGC2.5324.t1	mog-4
CGC2.5325.t1	CBG31044
CGC2.5326.t1	CGC2.5326
CGC2.5327.t1	nlp-41
CGC2.5328.t1	gcy-29
CGC2.5329.t1	F59A6.4
CGC2.5330.t1	Y54G9A.5
CGC2.5331.t1	F57C2.5
CGC2.5332.t1	spat-1
CGC2.5332.t2	spat-1
CGC2.5333.t1	C04H5.1
CGC2.5334.t1	clec-147
CGC2.5335.t1	gsp-4
CGC2.5336.t1	CBG20875
CGC2.5337.t1	CBG20876
CGC2.5338.t1	tbx-37
CGC2.5339.t1	rbm-28
CGC2.5340.t1	gpx-2
CGC2.5340.t2	gpx-2
CGC2.5341.t1	R05H10.3
CGC2.5341.t2	R05H10.3
CGC2.5342.t1	cog-1
CGC2.5343.t1	R03C1.1
CGC2.5343.t2	R03C1.1
CGC2.5344.t1	pde-3
CGC2.5344.t2	pde-3
CGC2.5344.t3	pde-3
CGC2.5345.t1	CGC2.5345
CGC2.5346.t1	CGC2.5346
CGC2.5347.t1	F59A6.11
CGC2.5347.t2	F59A6.11
CGC2.5348.t1	Y53F4B.1
CGC2.5348.t2	Y53F4B.1
CGC2.5349.t1	elo-9
CGC2.5350.t1	pole-4
CGC2.5351.t1	nsun-5
CGC2.5352.t1	xrn-2
CGC2.5353.t1	rpl-43
CGC2.5354.t1	Y48B6A.1
CGC2.5354.t2	Y48B6A.1
CGC2.5355.t1	Y53F4B.18
CGC2.5356.t1	CGC2.5356
CGC2.5357.t1	Y53F4B.19
CGC2.5358.t1	Y53F4B.20
CGC2.5359.t1	cmtr-1
CGC2.5360.t1	CGC2.5360
CGC2.5360.t2	CGC2.5360
CGC2.5361.t1	Y53F4B.14
CGC2.5362.t1	trip-4
CGC2.5363.t1	Y53F4B.39
CGC2.5363.t2	Y53F4B.39
CGC2.5364.t1	Y53F4B.21
CGC2.5365.t1	nos-1
CGC2.5365.t2	nos-1
CGC2.5366.t1	Y57A10A.14
CGC2.5367.t1	Y57A10A.13
CGC2.5368.t1	rol-1
CGC2.5369.t1	CGC2.5369
CGC2.5370.t1	T01H3.5
CGC2.5371.t1	polg-1
CGC2.5372.t1	trpp-5
CGC2.5373.t1	aqp-12
CGC2.5374.t1	pqn-87
CGC2.5374.t2	pqn-87
CGC2.5374.t3	pqn-87
CGC2.5374.t4	pqn-87
CGC2.5374.t5	pqn-87
CGC2.5374.t6	pqn-87
CGC2.5375.t1	rsr-2
CGC2.5376.t1	sinh-1
CGC2.5377.t1	txdc-12.1
CGC2.5378.t1	Y57A10A.24
CGC2.5379.t1	C50E10.1
CGC2.5380.t1	Y57A10A.31.3
CGC2.5381.t1	Y57A10A.29
CGC2.5382.t1	tric-1B.2
CGC2.5383.t1	Y57A10A.27
CGC2.5384.t1	CBG20931
CGC2.5385.t1	Y57A10A.26
CGC2.5386.t1	tric-1B.1
CGC2.5387.t1	parn-2
CGC2.5388.t1	CGC2.5388
CGC2.5388.t2	CGC2.5388
CGC2.5389.t1	marc-5
CGC2.5389.t2	marc-5
CGC2.5390.t1	ras-1
CGC2.5391.t1	C44C11.6
CGC2.5392.t1	CGC2.5392
CGC2.5393.t2	CGC2.5393
CGC2.5393.t1	CGC2.5393
CGC2.5394.t1	sre-52
CGC2.5395.t1	CGC2.5395
CGC2.5396.t1	CGC2.5396
CGC2.5397.t1	sre-49
CGC2.5398.t1	CGC2.5398
CGC2.5399.t1	F40E3.6
CGC2.5399.t2	F40E3.6
CGC2.5400.t1	sre-37
CGC2.5401.t1	tag-280
CGC2.5402.t1	tag-281
CGC2.5403.t1	sre-38
CGC2.5404.t1	sre-28
CGC2.5404.t2	sre-28
CGC2.5405.t1	sre-33
CGC2.5406.t1	sre-27
CGC2.5407.t1	CBG20960
CGC2.5408.t1	CGC2.5408
CGC2.5409.t1	sre-51
CGC2.5410.t1	CBG20963
CGC2.5411.t1	daf-22
CGC2.5412.t1	dct-12
CGC2.5413.t1	W05H5.1
CGC2.5414.t1	pitr-6
CGC2.5415.t1	CBG20969
CGC2.5416.t1	CGC2.5416
CGC2.5417.t1	F57G9.7
CGC2.5418.t1	CBG31284
CGC2.5419.t1	CBG30062
CGC2.5420.t1	CBG25686
CGC2.5421.t1	CBG25687
CGC2.5422.t1	Y57A10B.7
CGC2.5423.t1	F15A4.5
CGC2.5424.t1	srg-15
CGC2.5424.t2	srg-15
CGC2.5425.t2	CBG20980
CGC2.5425.t1	CBG20980
CGC2.5426.t1	CBG20981
CGC2.5427.t1	CBG20985
CGC2.5428.t1	CBG20983
CGC2.5429.t1	CBG20984
CGC2.5430.t1	CBG20986
CGC2.5431.t1	CBG20988
CGC2.5431.t2	CBG20988
CGC2.5432.t1	srg-17
CGC2.5433.t1	CBG20992
CGC2.5434.t1	phat-8
CGC2.5434.t2	phat-8
CGC2.5435.t1	CGC2.5435
CGC2.5436.t1	Y51B9A.7
CGC2.5437.t1	CBG20994
CGC2.5438.t1	CGC2.5438
CGC2.5439.t1	CGC2.5439
CGC2.5440.t1	CBG24922
CGC2.5441.t1	CGC2.5441
CGC2.5442.t1	CBG24920
CGC2.5443.t1	CBG24919
CGC2.5444.t1	CGC2.5444
CGC2.5445.t1	CBG21035
CGC2.5446.t1	CBG21037
CGC2.5446.t2	CBG21037
CGC2.5447.t2	srh-48
CGC2.5447.t1	srh-48
CGC2.5448.t1	CGC2.5448
CGC2.5449.t1	CGC2.5449
CGC2.5450.t1	CBG25691
CGC2.5451.t1	Y25C1A.13
CGC2.5452.t1	CBG19636
CGC2.5453.t1	fkh-3
CGC2.5454.t1	copb-1
CGC2.5455.t1	Y25C1A.8
CGC2.5455.t2	Y25C1A.8
CGC2.5456.t1	Y25C1A.7
CGC2.5457.t1	lin-8
CGC2.5458.t2	CGC2.5458
CGC2.5458.t1	CGC2.5458
CGC2.5459.t1	sri-28
CGC2.5460.t1	CBG19628
CGC2.5461.t1	B0454.5
CGC2.5462.t1	B0454.26
CGC2.5463.t1	B0454.6
CGC2.5464.t2	CBG19623
CGC2.5464.t1	CBG19623
CGC2.5465.t1	ZK355.2
CGC2.5466.t1	Y110A2AR.1
CGC2.5467.t1	ncap-1
CGC2.5468.t1	ubc-15
CGC2.5469.t1	ubc-26
CGC2.5469.t2	ubc-26
CGC2.5470.t1	sqv-2
CGC2.5471.t1	pinn-1
CGC2.5472.t1	pigw-1
CGC2.5473.t1	K08A2.2.1
CGC2.5474.t1	lido-7
CGC2.5475.t1	K08A2.2.2
CGC2.5476.t1	CBG19606
CGC2.5477.t1	CGC2.5477
CGC2.5478.t1	nhr-88
CGC2.5478.t2	nhr-88
CGC2.5478.t3	nhr-88
CGC2.5478.t4	nhr-88
CGC2.5479.t1	CGC2.5479
CGC2.5480.t1	T19H12.15
CGC2.5481.t1	K12H6.2
CGC2.5482.t1	K12H6.12
CGC2.5483.t1	nhr-119
CGC2.5483.t2	nhr-119
CGC2.5484.t1	srpa-72
CGC2.5484.t2	srpa-72
CGC2.5485.t1	F08D12.12
CGC2.5486.t1	CBG26176
CGC2.5487.t1	CBG19589
CGC2.5488.t1	fut-4
CGC2.5489.t1	CGC2.5489
CGC2.5490.t1	CGC2.5490
CGC2.5491.t1	CGC2.5491
CGC2.5492.t1	K12H6.5
CGC2.5493.t1	Y110A2AL.4
CGC2.5494.t1	ptc-3
CGC2.5494.t2	ptc-3
CGC2.5495.t1	Y110A2AL.5.1
CGC2.5496.t1	Y110A2AL.5.2
CGC2.5497.t1	F08D12.7
CGC2.5498.t1	CBG30148
CGC2.5499.t1	CBG19578
CGC2.5500.t1	clec-120
CGC2.5501.t1	F29A7.6
CGC2.5502.t1	CBG19573
CGC2.5503.t1	F29A7.4
CGC2.5504.t1	CBG19571
CGC2.5505.t1	T05A8.7
CGC2.5506.t1	T05A8.8
CGC2.5507.t1	T05A8.5
CGC2.5507.t2	T05A8.5
CGC2.5507.t3	T05A8.5
CGC2.5508.t1	nep-2
CGC2.5509.t1	T05A8.3
CGC2.5510.t1	sup-9
CGC2.5511.t1	CBG30122
CGC2.5512.t1	set-11
CGC2.5513.t1	CBG19561
CGC2.5514.t1	F14D2.7
CGC2.5515.t1	T08B6.9
CGC2.5516.t1	CGC2.5516
CGC2.5517.t1	CGC2.5517
CGC2.5517.t2	CGC2.5517
CGC2.5517.t3	CGC2.5517
CGC2.5518.t1	CBG19553a
CGC2.5518.t2	CBG19553a
CGC2.5519.t1	CBG19552
CGC2.5520.t1	CGC2.5520
CGC2.5521.t1	sri-57
CGC2.5522.t1	CGC2.5522
CGC2.5523.t1	CGC2.5523
CGC2.5524.t1	CBG19549
CGC2.5525.t1	sri-54
CGC2.5526.t1	K07E8.7
CGC2.5527.t1	frpr-14
CGC2.5528.t1	gcy-21
CGC2.5528.t2	gcy-21
CGC2.5529.t1	CBG26172
CGC2.5530.t1	CBG19539
CGC2.5531.t1	CBG30131
CGC2.5532.t1	CBG19538a
CGC2.5533.t1	CGC2.5533
CGC2.5534.t1	CGC2.5534
CGC2.5535.t1	CBG19533
CGC2.5536.t1	CGC2.5536
CGC2.5537.t1	CGC2.5537
CGC2.5538.t1	CGC2.5538
CGC2.5539.t1	C40A11.7
CGC2.5540.t1	CGC2.5540
CGC2.5541.t1	CGC2.5541
CGC2.5542.t1	CGC2.5542
CGC2.5543.t1	CBG19642
CGC2.5544.t1	CBG31527
CGC2.5545.t1	CGC2.5545
CGC2.5546.t1	CGC2.5546
CGC2.5547.t1	CGC2.5547
CGC2.5548.t1	CGC2.5548
CGC2.5549.t1	ceh-100.1
CGC2.5550.t1	CBG19528
CGC2.5551.t1	CGC2.5551
CGC2.5552.t1	CGC2.5552
CGC2.5553.t1	CGC2.5553
CGC2.5554.t1	CBG19524
CGC2.5555.t1	CBG19523
CGC2.5556.t1	lsy-2.2
CGC2.5557.t1	CBG19520
CGC2.5558.t1	CBG19519
CGC2.5559.t1	bath-13
CGC2.5560.t1	ehn-3
CGC2.5560.t2	ehn-3
CGC2.5561.t1	btb-16.1
CGC2.5562.t1	CBG26169
CGC2.5563.t1	CGC2.5563
CGC2.5564.t1	CBG30068
CGC2.5565.t1	ceh-100.2
CGC2.5566.t1	CBG19513
CGC2.5567.t1	CBG19512
CGC2.5568.t1	CGC2.5568
CGC2.5569.t1	CGC2.5569
CGC2.5570.t1	CBG19507
CGC2.5571.t1	CBG19506
CGC2.5572.t1	CGC2.5572
CGC2.5573.t1	CGC2.5573
CGC2.5574.t1	CBG19502
CGC2.5575.t1	CBG19501
CGC2.5576.t1	CBG19500
